date,unix_dt,couvain,autre
2020-09-21T12:00:00.000+0000,1600689600,30.999,47:86:41
2020-09-20T12:00:00.000+0000,1600603200,34.754,47:86:41
2020-09-19T12:00:00.000+0000,1600516800,37.842,47:86:41
2020-09-18T12:00:00.000+0000,1600430400,40.265,47:86:41
2020-09-17T12:00:00.000+0000,1600344000,42.484,47:86:41
2020-09-16T12:00:00.000+0000,1600257600,44.816,47:86:41
2020-09-15T12:00:00.000+0000,1600171200,46.851,47:86:41
2020-09-14T12:00:00.000+0000,1600084800,49.304,47:86:41
2020-09-13T12:00:00.000+0000,1599998400,51.443,47:86:41
2020-09-12T12:00:00.000+0000,1599912000,53.399,47:86:41
2020-09-11T12:00:00.000+0000,1599825600,53.911,47:86:41
2020-09-10T12:00:00.000+0000,1599739200,54.023,47:86:41
2020-09-09T12:00:00.000+0000,1599652800,54.018,47:86:41
2020-09-08T12:00:00.000+0000,1599566400,54.527,47:86:41
2020-09-07T12:00:00.000+0000,1599480000,55.04,47:86:41
2020-09-06T12:00:00.000+0000,1599393600,56.078,47:86:41
2020-09-05T12:00:00.000+0000,1599307200,57.01,47:86:41
2020-09-04T12:00:00.000+0000,1599220800,57.902,47:86:41
2020-09-03T12:00:00.000+0000,1599134400,58.359,47:86:41
2020-09-02T12:00:00.000+0000,1599048000,59.076,47:86:41
2020-09-01T12:00:00.000+0000,1598961600,59.528,47:86:41
2020-08-31T12:00:00.000+0000,1598875200,60.112,47:86:41
2020-08-30T12:00:00.000+0000,1598788800,60.795,47:86:41
2020-08-29T12:00:00.000+0000,1598702400,61.718,47:86:41
2020-08-28T12:00:00.000+0000,1598616000,62.656,47:86:41
2020-08-27T12:00:00.000+0000,1598529600,63.234,47:86:41
2020-08-26T12:00:00.000+0000,1598443200,64,47:86:41
2020-08-25T12:00:00.000+0000,1598356800,64.782,47:86:41
2020-08-24T12:00:00.000+0000,1598270400,66.125,47:86:41
2020-08-23T12:00:00.000+0000,1598184000,66.99,47:86:41
2020-08-22T12:00:00.000+0000,1598097600,67.439,47:86:41
2020-08-21T12:00:00.000+0000,1598011200,67.388,47:86:41
2020-08-20T12:00:00.000+0000,1597924800,67.261,47:86:41
2020-08-19T12:00:00.000+0000,1597838400,67.871,47:86:41
2020-08-18T12:00:00.000+0000,1597752000,69.265,47:86:41
2020-08-17T12:00:00.000+0000,1597665600,70.381,47:86:41
2020-08-16T12:00:00.000+0000,1597579200,70.744,47:86:41
2020-08-15T12:00:00.000+0000,1597492800,69.347,47:86:41
2020-08-14T12:00:00.000+0000,1597406400,67.926,47:86:41
2020-08-13T12:00:00.000+0000,1597320000,64.087,47:86:41
2020-08-12T12:00:00.000+0000,1597233600,60.661,47:86:41
2020-08-11T12:00:00.000+0000,1597147200,57.708,47:86:41
2020-08-10T12:00:00.000+0000,1597060800,55.561,47:86:41
2020-08-09T12:00:00.000+0000,1596974400,53.703,47:86:41
2020-08-08T12:00:00.000+0000,1596888000,52.389,47:86:41
2020-08-07T12:00:00.000+0000,1596801600,51.517,47:86:41
2020-08-06T12:00:00.000+0000,1596715200,52.29,47:86:41
2020-08-05T12:00:00.000+0000,1596628800,51.184,47:86:41
2020-08-04T12:00:00.000+0000,1596542400,51.335,47:86:41
2020-08-03T12:00:00.000+0000,1596456000,51.263,47:86:41
2020-08-02T12:00:00.000+0000,1596369600,50.163,47:86:41
2020-08-01T12:00:00.000+0000,1596283200,48.998,47:86:41
2020-07-31T12:00:00.000+0000,1596196800,49.193,47:86:41
2020-07-30T12:00:00.000+0000,1596110400,48.561,47:86:41
2020-07-29T12:00:00.000+0000,1596024000,49.777,47:86:41
2020-07-28T12:00:00.000+0000,1595937600,51.272,47:86:41
