dt,temp,humidity,wind_speed,rain_1h,snow_1h
1610049600,-3.52,86,2.57,0,0
1610053200,-3.22,86,2.06,0,0
1610056800,-3.83,93,1.03,0,0
1610060400,-3.76,93,1.03,0,0
1610064000,-4.19,93,1.03,0,0
1610067600,-3.44,86,1.03,0,0
1610071200,-4.55,93,1.03,0,0
1610074800,-5.18,93,1.54,0,0
1610078400,-5.27,93,1.03,0,0
1610082000,-4.95,86,2.06,0,0
1610085600,-5.34,93,1.03,0,0
1610089200,-5.35,93,1.03,0,0
1610092800,-4.48,93,1.03,0,0
1610096400,-2.74,93,1.54,0,0
1610100000,0.61,74,1.03,0,0
1610103600,1.9,75,1.03,0,0
1610107200,2.4,80,1.54,0,0
1610110800,3.87,60,2.57,0,0
1610114400,2.65,60,3.6,0,0
1610118000,2.57,60,3.6,0,0
1610121600,1.93,70,2.57,0,0
1610125200,0.2,75,2.06,0,0
1610128800,-0.61,80,2.57,0,0
1610132400,-0.51,80,3.6,0,0
1610136000,-0.95,93,1.54,0,0
1610139600,-1.34,93,1.03,0,0
1610143200,-0.87,86,1.54,0,0
1610146800,-1.56,93,2.06,0,0
1610150400,-1.31,93,1.54,0,0
1610154000,-1.56,93,1.54,0,0
1610157600,-2.06,100,1.03,0,0
1610161200,-2.11,93,1.92,0,0
1610164800,-2.06,100,1.54,0,0
1610168400,-2.16,93,0.51,0,0
1610172000,-2.22,93,1.31,0,0
1610175600,-2.16,93,1.31,0,0
1610179200,-1.34,100,1.67,0,0
1610182800,-0.99,93,1.67,0,0
1610186400,-0.94,100,1.03,0,0
1610190000,0.17,93,2.06,0,0
1610193600,0.52,87,2.06,0,0
1610193600,0.52,87,2.06,0,0
1610197200,0.17,93,3.09,0,0
1610197200,0.17,93,3.09,0,0
1610200800,0.01,93,3.6,0,0
1610200800,0.01,93,3.6,0,0
1610204400,-0.04,93,3.6,0,0
1610208000,0.01,93,2.57,0,0
1610211600,-0.28,93,2.57,0,0
1610215200,-0.36,93,1.54,0,0.33
1610215200,-0.36,93,1.54,0,0.33
1610218800,-0.28,93,1.54,0.5,0
1610222400,-0.2,93,1.54,0,0
1610226000,-0.65,100,1.87,0,0
1610229600,-0.2,93,1.87,0,0
1610233200,-0.28,93,0.51,0,0
1610236800,-1.05,100,2.03,0,0
1610240400,-0.6,93,1.03,0.5,0
1610240400,-0.6,93,1.03,0.5,0
1610244000,-1.09,100,2.57,0.5,0
1610244000,-1.09,100,2.57,0.5,0
1610247600,-1.15,100,1.54,0.5,0
1610247600,-1.15,100,1.54,0.5,0
1610251200,-0.77,100,1.54,0,0
1610254800,-0.7,100,0.51,0,0
1610258400,-0.76,100,2.57,0,0
1610262000,-0.7,100,3.09,0,0
1610265600,-0.5,93,2.06,0,0
1610269200,-0.85,86,1.03,0,0
1610272800,-0.5,93,2.57,0,0
1610276400,0.3,86,2.57,0,0
1610280000,0.59,86,2.06,0,0
1610283600,0.3,86,2.06,0,0
1610287200,0.25,86,3.09,0,0
1610290800,0.22,86,3.09,0,0
1610294400,-0.07,86,2.06,0,0
1610298000,-0.74,86,2.06,0,0
1610301600,-1.2,93,2.06,0,0
1610305200,-1.14,93,1.54,0,0
1610308800,-1.41,93,2.06,0,0
1610312400,-1.87,93,2.06,0,0
1610316000,-2.52,93,1.03,0,0
1610319600,-2.87,93,1.03,0,0
1610323200,-2.34,93,1.21,0,0
1610326800,-2.55,86,1.03,0,0
1610330400,-3.86,100,1.03,0,0
1610334000,-4.24,93,0.51,0,0
1610337600,-4.89,100,1.35,0,0
1610341200,-5,100,1.03,0,0
1610344800,-5.05,93,0.51,0,0
1610348400,-5.32,93,0.51,0,0
1610352000,-4.31,93,1.77,0,0
1610355600,-2.53,100,0.51,0,0
1610359200,-1.12,93,1.54,0,0
1610362800,1.18,86,2.06,0,0
1610366400,1.54,87,4.12,0,0
1610370000,2.52,81,5.66,0,0
1610373600,1.8,70,4.12,0,0
1610377200,2.03,70,5.14,0,0
1610380800,1.72,75,3.6,0,0
1610384400,-1.96,86,3.09,0,0
1610388000,-2.74,86,2.35,0,0
1610391600,-2.99,93,2.06,0,0
1610395200,-3.43,93,1.54,0,0
1610398800,-3.47,93,2.57,0,0
1610402400,-3.43,93,2.06,0,0
1610406000,-3.71,93,2.57,0,0
1610409600,-3.74,93,2.06,0,0
1610413200,-3.71,93,1.54,0,0
1610416800,-3.95,93,2.06,0,0
1610420400,-3.64,86,1.54,0,0
1610424000,-3.95,86,2.06,0,0
1610427600,-3.83,86,3.09,0,0
1610431200,-3.52,86,3.09,0,0
1610434800,-3.12,86,3.6,0,0
1610438400,-1.87,86,1.54,0,0
1610442000,0.6,86,3.09,0,0
1610445600,1.89,80,1.54,0,0
1610449200,3.22,80,2.57,0,0
1610452800,4.54,75,2.06,0,0
1610456400,5.35,61,4.12,0,0
1610460000,5.69,61,4.12,0,0
1610463600,6.27,57,3.09,0,0
1610467200,5.53,61,4.12,0,0
1610470800,4.1,65,3.09,0,0
1610474400,4.31,65,2.57,0,0
1610478000,4.02,75,4.63,0,0
1610481600,4.46,76,3.6,0,0
1610485200,3.97,81,1.03,0.04,0
1610488800,4.06,87,3.6,0,0
1610492400,5,93,3.6,0,0
1610496000,4.61,93,2.57,0,0
1610499600,4.68,100,3.6,0,0
1610503200,4.89,100,3.09,0,0
1610506800,4.83,100,3.09,0,0
1610510400,4.25,100,3.09,0,0
1610514000,4.35,100,3.09,0,0
1610517600,5.79,93,2.57,0,0
1610521200,5.28,100,2.06,0,0
1610524800,4.49,93,1.54,0,0
1610524800,4.49,93,1.54,0,0
1610528400,6.45,100,2.57,0,0
1610532000,7.6,93,3.6,0,0
1610535600,8.28,93,3.6,0,0
1610539200,8.49,87,5.14,0,0
1610542800,9.22,87,4.63,0,0
1610546400,8.52,81,4.12,0,0
1610550000,8.08,81,3.6,0,0
1610553600,7.8,87,2.57,0,0
1610557200,7.31,87,3.6,0,0
1610560800,6.82,93,3.09,0,0
1610564400,6.59,93,1.54,0,0
1610568000,6.45,93,2.06,0,0
1610571600,6.35,93,1.54,0,0
1610575200,6.48,93,1.03,0,0
1610578800,5.26,100,1.5,0,0
1610582400,5.19,93,1.54,0,0
1610586000,4.94,93,1.5,0,0
1610589600,4.77,93,0.51,0,0
1610593200,4.69,100,2.57,0,0
1610593200,4.69,100,2.57,0,0
1610596800,4.77,93,2.57,0,0
1610600400,4.18,100,3.09,0,0
1610604000,4.09,100,1.03,0,0
1610607600,4.18,93,1.03,0,0
1610611200,4.49,93,1.03,0,0
1610614800,5.13,87,1.03,0,0
1610618400,7.02,81,1.54,0,0
1610622000,7.89,87,3.09,0,0
1610625600,8.61,87,5.66,0,0
1610629200,8.72,87,4.12,0,0
1610632800,8.68,87,5.14,0,0
1610636400,7.78,87,5.66,0,0
1610640000,7.88,81,4.63,0,0
1610643600,7.02,93,4.12,0.33,0
1610643600,7.02,93,4.12,0.33,0
1610647200,6.66,93,2.57,0.33,0
1610650800,7.64,93,3.09,0,0
1610654400,8.25,100,5.66,0,0
1610658000,7.41,100,4.63,0.25,0
1610661600,7.17,100,4.63,0,0
1610665200,7.24,93,5.14,0,0
1610668800,7.12,93,3.09,0,0
1610672400,6.84,93,3.6,0,0
1610676000,7.37,100,3.6,0,0
1610679600,7.25,93,3.6,0,0
1610683200,6.38,93,3.6,0.08,0
1610686800,5.97,100,3.6,0,0
1610690400,6.83,100,4.12,0,0
1610694000,6.92,100,4.12,0,0
1610697600,5.8,100,3.09,0,0
1610701200,7.27,93,4.12,0,0
1610704800,7.48,93,3.09,0.13,0
1610708400,7.58,93,2.57,0.33,0
1610712000,8.07,87,3.09,0,0
1610715600,8.25,76,3.09,0,0
1610719200,7.07,81,3.6,0,0
1610722800,7.36,76,3.6,0,0
1610726400,6.67,87,2.57,0,0
1610730000,5.94,87,2.06,0,0
1610733600,5.45,93,2.57,0,0
1610737200,5.22,87,2.06,0,0
1610740800,5.03,87,3.6,0,0
1610744400,4.56,93,2.06,0,0
1610748000,4.64,87,2.57,0,0
1610751600,3.71,93,1.03,0,0
1610755200,3.98,87,1.03,0,0
1610758800,3.39,93,1.54,0,0
1610762400,1.94,93,0.51,0,0
1610766000,1.14,93,1.03,0,0
1610769600,0.19,93,2.57,0,0
1610773200,-0.05,100,2.06,0,0
1610776800,-0.41,100,1.54,0,0
1610780400,-0.77,100,0.51,0,0
1610784000,0.27,93,1.54,0,0
1610787600,1.36,100,2.06,0,0
1610791200,3.73,93,1.54,0,0
1610794800,6.02,87,2.03,0,0
1610798400,7.08,71,3.6,0,0
1610802000,7.37,76,2.06,0,0
1610805600,7.57,71,2.06,0,0
1610809200,7.73,71,1.54,0,0
1610812800,6.93,76,1.78,0,0
1610816400,5.56,81,0.51,0,0
1610820000,5.47,81,1.82,0,0
1610823600,5.56,81,1.03,0,0
